date,fund,company,ticker,shares,market value($),weight(%)
2021-09-29,ARKF,ADYEN NV,ADYEN,41208.0,120418146.76,3.67
2021-09-29,ARKF,AMAZON.COM INC,AMZN,8650.0,28683054.0,0.87
2021-09-29,ARKF,BILL.COM HOLDINGS INC,BILL,198127.0,51269323.79,1.56
2021-09-29,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,802357.0,184413732.88,5.62
2021-09-29,ARKF,DISCOVERY LTD,DSY,6714014.0,59117495.16,1.8
2021-09-29,ARKF,DOCUSIGN INC,DOCU,295811.0,76615049.0,2.33
2021-09-29,ARKF,DRAFTKINGS INC - CL A,DKNG,1418825.0,70841932.25,2.16
2021-09-29,ARKF,DREYFUS GOVT CASH MAN INS,,13949926.56,13949926.56,0.43
2021-09-29,ARKF,ETSY INC,ETSY,235339.0,49974236.65,1.52
2021-09-29,ARKF,FACEBOOK INC-CLASS A,FB,210713.0,71779383.45,2.19
2021-09-29,ARKF,FARFETCH LTD-CLASS A,FTCH,1106859.0,43056815.1,1.31
2021-09-29,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,500944.0,58385023.2,1.78
2021-09-29,ARKF,INTUIT INC,INTU,122932.0,66999169.32,2.04
2021-09-29,ARKF,JD.COM INC-ADR,JD,1145373.0,86384031.66,2.63
2021-09-29,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,205683.0,22337173.8,0.68
2021-09-29,ARKF,LENDINGCLUB CORP,LC,2226945.0,60417017.85,1.84
2021-09-29,ARKF,MERCADOLIBRE INC,MELI,66677.0,112151380.77,3.42
2021-09-29,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,5909304.0,118481545.2,3.61
2021-09-29,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,1781210.0,45135861.4,1.38
2021-09-29,ARKF,PAYPAL HOLDINGS INC,PYPL,574828.0,150714153.32,4.59
2021-09-29,ARKF,PINDUODUO INC-ADR,PDD,659750.0,58717750.0,1.79
2021-09-29,ARKF,PINTEREST INC- CLASS A,PINS,1610056.0,83642409.2,2.55
2021-09-29,ARKF,ROBINHOOD MARKETS INC - A,HOOD,1416836.0,63219222.32,1.93
2021-09-29,ARKF,SEA LTD-ADR,SE,475529.0,150609544.88,4.59
2021-09-29,ARKF,SHOPIFY INC - CLASS A,SHOP,149720.0,205013093.2,6.25
2021-09-29,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,622111.0,68152260.05,2.08
2021-09-29,ARKF,SNAP INC - A,SNAP,494632.0,36810513.44,1.12
2021-09-29,ARKF,SOUTH AFRICAN RAND,,136.75,9.04,0.0
2021-09-29,ARKF,SQUARE INC - A,SQ,1415621.0,343571216.7,10.47
2021-09-29,ARKF,STONECO LTD-A,STNE,1825646.0,66289206.26,2.02
2021-09-29,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,747039.0,63812071.38,1.94
2021-09-29,ARKF,TELADOC HEALTH INC,TDOC,668940.0,87129435.0,2.66
2021-09-29,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,733938.0,43302342.0,1.32
2021-09-29,ARKF,TOAST INC-CLASS A,TOST,14813.0,753241.05,0.02
2021-09-29,ARKF,TWILIO INC - A,TWLO,354240.0,114118416.0,3.48
2021-09-29,ARKF,UIPATH INC - CLASS A,PATH,1670379.0,87444340.65,2.66
2021-09-29,ARKF,WORKDAY INC-CLASS A,WDAY,246082.0,62103714.34,1.89
2021-09-29,ARKF,YEAHKA LTD,9923,37200.0,122848.79,0.0
2021-09-29,ARKF,Z HOLDINGS CORP,4689,11124676.0,74976174.74,2.28
2021-09-29,ARKF,ZILLOW GROUP INC - C,Z,2053549.0,180650705.53,5.51
