date,fund,company,ticker,shares,market value($),weight(%)
2021-09-29,ARKG,10X GENOMICS INC-CLASS A,TXG,630773.0,92118088.92,1.28
2021-09-29,ARKG,1LIFE HEALTHCARE INC,ONEM,3589567.0,72401566.39,1.01
2021-09-29,ARKG,908 DEVICES INC,MASS,2734497.0,87531248.97,1.22
2021-09-29,ARKG,ACCOLADE INC,ACCD,5232817.0,219098047.79,3.04
2021-09-29,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,4855514.0,162416943.3,2.25
2021-09-29,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,6232584.0,25428942.72,0.35
2021-09-29,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,2527455.0,121090369.05,1.68
2021-09-29,ARKG,BEAM THERAPEUTICS INC,BEAM,1957520.0,178330072.0,2.48
2021-09-29,ARKG,BERKELEY LIGHTS INC,BLI,3878268.0,79388145.96,1.1
2021-09-29,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,612.0,36622.08,0.0
2021-09-29,ARKG,BUTTERFLY NETWORK INC,BFLY,7192997.0,77468577.69,1.08
2021-09-29,ARKG,CAREDX INC,CDNA,3410387.0,201724391.05,2.8
2021-09-29,ARKG,CARIBOU BIOSCIENCES INC,CRBU,144419.0,3474721.14,0.05
2021-09-29,ARKG,CASTLE BIOSCIENCES INC,CSTL,2104745.0,138660600.6,1.92
2021-09-29,ARKG,CELLECTIS - ADR,CLLS,3833276.0,49679256.96,0.69
2021-09-29,ARKG,CERUS CORP,CERS,5207739.0,32235904.41,0.45
2021-09-29,ARKG,CM LIFE SCIENCES II -CW27,SLGCW,548744.0,0.0,0.0
2021-09-29,ARKG,CODEXIS INC,CDXS,5880757.0,137021638.1,1.9
2021-09-29,ARKG,COMPUGEN LTD,CGEN,3653824.0,22142173.44,0.31
2021-09-29,ARKG,CRISPR THERAPEUTICS AG,CRSP,1802412.0,202140505.8,2.81
2021-09-29,ARKG,DREYFUS GOVT CASH MAN INS,,3661087.25,3661087.25,0.05
2021-09-29,ARKG,DYNAMICS SPECIAL PURPOSE C-A,DYNS,2286349.0,22657718.59,0.31
2021-09-29,ARKG,EDITAS MEDICINE INC,EDIT,1267434.0,66476913.3,0.92
2021-09-29,ARKG,EVOGENE LTD,EVGN,2943433.0,8094440.75,0.11
2021-09-29,ARKG,EXACT SCIENCES CORP,EXAS,3944311.0,367491455.87,5.1
2021-09-29,ARKG,FATE THERAPEUTICS INC,FATE,4792947.0,291363248.13,4.04
2021-09-29,ARKG,GINKGO BIOWORKS HOLDINGS INC,DNA,9292842.0,119598876.54,1.66
2021-09-29,ARKG,INCYTE CORP,INCY,2873924.0,197381100.32,2.74
2021-09-29,ARKG,INTELLIA THERAPEUTICS INC,NTLA,1498281.0,208875354.21,2.9
2021-09-29,ARKG,INVITAE CORP,NVTA,6035491.0,172071848.41,2.39
2021-09-29,ARKG,IONIS PHARMACEUTICALS INC,IONS,8515310.0,292586051.6,4.06
2021-09-29,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,5901417.0,145292886.54,2.02
2021-09-29,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,866736.0,40346560.8,0.56
2021-09-29,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,15937.0,1311615.1,0.02
2021-09-29,ARKG,ORGANOVO HOLDINGS INC,ONVO ,244440.0,1645081.2,0.02
2021-09-29,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,13684522.0,340334062.14,4.72
2021-09-29,ARKG,PALANTIR TECHNOLOGIES INC-A,PLTR,1629865.0,41300779.1,0.57
2021-09-29,ARKG,PERSONALIS INC,PSNL,5140228.0,95556838.52,1.33
2021-09-29,ARKG,PFIZER INC,PFE,2217641.0,95447268.64,1.32
2021-09-29,ARKG,QUANTUM-SI INC,QSI,10122119.0,90997849.81,1.26
2021-09-29,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,2594683.0,59470134.36,0.83
2021-09-29,ARKG,REGENERON PHARMACEUTICALS,REGN,427843.0,258845015.0,3.59
2021-09-29,ARKG,REPARE THERAPEUTICS INC,RPTX,2966623.0,78615509.5,1.09
2021-09-29,ARKG,SCHRODINGER INC,SDGR,2425996.0,134861117.64,1.87
2021-09-29,ARKG,SEMA4 HOLDINGS CORP,SMFR,9610464.0,75634351.68,1.05
2021-09-29,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,8455908.0,161930638.2,2.25
2021-09-29,ARKG,SOMALOGIC INC,SLGC,4833326.0,57951578.74,0.8
2021-09-29,ARKG,SURFACE ONCOLOGY INC,SURF,4284793.0,30979053.39,0.43
2021-09-29,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,13500670.0,224111122.0,3.11
2021-09-29,ARKG,TELADOC HEALTH INC,TDOC,3911316.0,509448909.0,7.07
2021-09-29,ARKG,TWIST BIOSCIENCE CORP,TWST,2222309.0,231120136.0,3.21
2021-09-29,ARKG,UIPATH INC - CLASS A,PATH,2935751.0,153686564.85,2.13
2021-09-29,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,736219.0,209910761.28,2.91
2021-09-29,ARKG,VERACYTE INC,VCYT,1992985.0,92514363.7,1.28
2021-09-29,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,1710698.0,310662756.8,4.31
2021-09-29,ARKG,VERVE THERAPEUTICS INC,VERV,1267553.0,60677762.11,0.84
2021-09-29,ARKG,ZYMERGEN INC,ZY,3781900.0,48446139.0,0.67
