date,fund,company,ticker,shares,market value($),weight(%)
2021-10-01,ARKK,10X GENOMICS INC-CLASS A,TXG,2092907.0,304685401.06,1.57
2021-10-01,ARKK,2U INC,TWOU,5026192.0,168729265.44,0.87
2021-10-01,ARKK,BEAM THERAPEUTICS INC,BEAM,4828542.0,420131439.42,2.17
2021-10-01,ARKK,BERKELEY LIGHTS INC,BLI,4624845.0,90461968.2,0.47
2021-10-01,ARKK,CERUS CORP,CERS,10421872.0,63469200.48,0.33
2021-10-01,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,4333704.0,985830985.92,5.1
2021-10-01,ARKK,COMPUGEN LTD,CGEN,5482998.0,32733498.06,0.17
2021-10-01,ARKK,CRISPR THERAPEUTICS AG,CRSP,4859384.0,543910851.12,2.81
2021-10-01,ARKK,DOCUSIGN INC,DOCU,1253221.0,322616682.03,1.67
2021-10-01,ARKK,DRAFTKINGS INC - CL A,DKNG,10801151.0,520183432.16,2.69
2021-10-01,ARKK,DREYFUS GOVT CASH MAN INS,,38943566.2,38943566.2,0.2
2021-10-01,ARKK,EDITAS MEDICINE INC,EDIT,3961353.0,162732381.24,0.84
2021-10-01,ARKK,EXACT SCIENCES CORP,EXAS,6612351.0,631148902.95,3.26
2021-10-01,ARKK,FATE THERAPEUTICS INC,FATE,6068939.0,359706014.53,1.86
2021-10-01,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,11536257.0,133705218.63,0.69
2021-10-01,ARKK,INTELLIA THERAPEUTICS INC,NTLA,4001000.0,536734150.0,2.77
2021-10-01,ARKK,INVITAE CORP,NVTA,15543836.0,441911257.48,2.28
2021-10-01,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,5312590.0,131008469.4,0.68
2021-10-01,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,7285612.0,290331638.2,1.5
2021-10-01,ARKK,MATERIALISE NV-ADR,MTLS,3153225.0,63379822.5,0.33
2021-10-01,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,626462.0,30076440.62,0.16
2021-10-01,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,117316.0,6950973.0,0.04
2021-10-01,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,8059777.0,205927302.35,1.06
2021-10-01,ARKK,PAGERDUTY INC,PD,6813744.0,282225276.48,1.46
2021-10-01,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,23621434.0,567859273.36,2.93
2021-10-01,ARKK,PROTO LABS INC,PRLB,1495856.0,99624009.6,0.51
2021-10-01,ARKK,ROBINHOOD MARKETS INC - A,HOOD,5556044.0,233798331.52,1.21
2021-10-01,ARKK,ROKU INC,ROKU,3466794.0,1086319899.9,5.61
2021-10-01,ARKK,SEA LTD-ADR,SE,189212.0,60307540.76,0.31
2021-10-01,ARKK,SHOPIFY INC - CLASS A,SHOP,539825.0,731883938.5,3.78
2021-10-01,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,8737286.0,156135300.82,0.81
2021-10-01,ARKK,SKILLZ INC,SKLZ,11864469.0,116509085.58,0.6
2021-10-01,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,3257057.0,733945224.38,3.79
2021-10-01,ARKK,SQUARE INC - A,SQ,3256421.0,781020012.64,4.04
2021-10-01,ARKK,STRATASYS LTD,SSYS,3539869.0,76177980.88,0.39
2021-10-01,ARKK,TELADOC HEALTH INC,TDOC,8616386.0,1092643908.66,5.65
2021-10-01,ARKK,TERADYNE INC,TER,475.0,51855.75,0.0
2021-10-01,ARKK,TESLA INC,TSLA,2545118.0,1973688106.64,10.2
2021-10-01,ARKK,TRIMBLE INC,TRMB,1347244.0,110810819.0,0.57
2021-10-01,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,7014748.0,260457593.24,1.35
2021-10-01,ARKK,TWILIO INC - A,TWLO,2003447.0,639199765.35,3.3
2021-10-01,ARKK,TWIST BIOSCIENCE CORP,TWST,1572732.0,168235142.04,0.87
2021-10-01,ARKK,TWITTER INC,TWTR,7884081.0,476119651.59,2.46
2021-10-01,ARKK,UIPATH INC - CLASS A,PATH,11768229.0,619126527.69,3.2
2021-10-01,ARKK,UNITY SOFTWARE INC,U,7661245.0,967232181.25,5.0
2021-10-01,ARKK,VERACYTE INC,VCYT,3671562.0,170544054.9,0.88
2021-10-01,ARKK,ZILLOW GROUP INC - C,Z,6757133.0,595573702.62,3.08
2021-10-01,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,3302389.0,863574723.5,4.46
