date,fund,company,ticker,shares,market value($),weight(%)
2021-09-29,ARKQ,2U INC,TWOU,825839.0,28351052.87,1.11
2021-09-29,ARKQ,3D SYSTEMS CORP,DDD,3190806.0,91033695.18,3.56
2021-09-29,ARKQ,AEROVIRONMENT INC,AVAV,647020.0,55740773.0,2.18
2021-09-29,ARKQ,ALPHABET INC-CL C,GOOG,24926.0,67890447.68,2.65
2021-09-29,ARKQ,ANSYS INC,ANSS,73646.0,25305502.06,0.99
2021-09-29,ARKQ,ARCHER AVIATION INC-A,ACHR,4551991.0,41286558.37,1.61
2021-09-29,ARKQ,BAIDU INC - SPON ADR,BIDU,235641.0,36293426.82,1.42
2021-09-29,ARKQ,BLADE AIR MOBILITY INC,BLDE,4355118.0,47383683.84,1.85
2021-09-29,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,347690.0,21369027.4,0.84
2021-09-29,ARKQ,CATERPILLAR INC,CAT,218547.0,43829600.85,1.71
2021-09-29,ARKQ,DEERE & CO,DE,233749.0,82733121.06,3.23
2021-09-29,ARKQ,DREYFUS GOVT CASH MAN INS,,10589009.96,10589009.96,0.41
2021-09-29,ARKQ,ELBIT SYSTEMS LTD,ESLT,236199.0,34350420.57,1.34
2021-09-29,ARKQ,INTUITIVE SURGICAL INC,ISRG,25056.0,24867829.44,0.97
2021-09-29,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,2941233.0,122002344.84,4.77
2021-09-29,ARKQ,JAWS SPITFIRE ACQUISITION-A,SPFR,3186031.0,31382405.35,1.23
2021-09-29,ARKQ,JD.COM INC-ADR,JD,1265591.0,95450873.22,3.73
2021-09-29,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,3899657.0,95229623.94,3.72
2021-09-29,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,7852009.0,176120561.87,6.88
2021-09-29,ARKQ,LOCKHEED MARTIN CORP,LMT,268560.0,94573404.0,3.7
2021-09-29,ARKQ,MAGNA INTERNATIONAL INC,MGA,708209.0,54227563.13,2.12
2021-09-29,ARKQ,MARKFORGED HOLDING CORP,MKFG,8147254.0,58986118.96,2.3
2021-09-29,ARKQ,MATERIALISE NV-ADR,MTLS,1406090.0,28163982.7,1.1
2021-09-29,ARKQ,NANO DIMENSION LTD - ADR,NNDM,8920634.0,51739677.2,2.02
2021-09-29,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,2442540.0,57033309.0,2.23
2021-09-29,ARKQ,NXP SEMICONDUCTORS NV,NXPI,46004.0,9485564.76,0.37
2021-09-29,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,135437.0,911491.01,0.04
2021-09-29,ARKQ,PALANTIR TECHNOLOGIES INC-A,PLTR,1068323.0,27071304.82,1.06
2021-09-29,ARKQ,PROTO LABS INC,PRLB,386715.0,26393298.75,1.03
2021-09-29,ARKQ,STRATASYS LTD,SSYS,1014820.0,21981001.2,0.86
2021-09-29,ARKQ,SYNOPSYS INC,SNPS,89080.0,26895924.4,1.05
2021-09-29,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,72950.0,31533367.0,1.23
2021-09-29,ARKQ,TERADYNE INC,TER,482250.0,53756407.5,2.1
2021-09-29,ARKQ,TESLA INC,TSLA,379573.0,295140781.88,11.53
2021-09-29,ARKQ,TRIMBLE INC,TRMB,2149279.0,181313176.44,7.09
2021-09-29,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,1843929.0,68483523.06,2.68
2021-09-29,ARKQ,UIPATH INC - CLASS A,PATH,3155461.0,165188383.35,6.45
2021-09-29,ARKQ,UNITY SOFTWARE INC,U,1182168.0,150348126.24,5.88
2021-09-29,ARKQ,VUZIX CORP,VUZI,2317440.0,24657561.6,0.96
