date,fund,company,ticker,shares,market value($),weight(%)
2021-09-28,ARKW,2U INC,TWOU,1124406.0,39399186.24,0.73
2021-09-28,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1607902.0,49692211.31,0.92
2021-09-28,ARKW,CLOUDFLARE INC - CLASS A,NET,476386.0,58504964.66,1.09
2021-09-28,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,1164351.0,270408876.24,5.03
2021-09-28,ARKW,CONCORD ACQUISITION CORP -A,CND,2803809.0,28234356.63,0.53
2021-09-28,ARKW,DOCUSIGN INC,DOCU,183555.0,48425480.1,0.9
2021-09-28,ARKW,DRAFTKINGS INC - CL A,DKNG,3557384.0,182813963.76,3.4
2021-09-28,ARKW,DREYFUS GOVT CASH MAN INS,,9877922.51,9877922.51,0.18
2021-09-28,ARKW,ETSY INC,ETSY,389674.0,87980595.72,1.64
2021-09-28,ARKW,FARFETCH LTD-CLASS A,FTCH,1445700.0,59172501.0,1.1
2021-09-28,ARKW,GENIUS SPORTS LTD,GENI,3117864.0,57649305.36,1.07
2021-09-28,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,8243128.0,281750115.04,5.24
2021-09-28,ARKW,KHOSLA VENTURES ACQUISITIO-A,KVSB,4843483.0,49403526.6,0.92
2021-09-28,ARKW,LENDINGCLUB CORP,LC,31397.0,917420.34,0.02
2021-09-28,ARKW,LIVEPERSON INC,LPSN,896267.0,55676106.04,1.04
2021-09-28,ARKW,MERCADOLIBRE INC,MELI,28909.0,51115448.35,0.95
2021-09-28,ARKW,NANO DIMENSION LTD - ADR,NNDM,6888135.0,42224267.55,0.79
2021-09-28,ARKW,OKTA INC,OKTA,230135.0,55568397.1,1.03
2021-09-28,ARKW,PAGERDUTY INC,PD,1544068.0,69884517.68,1.3
2021-09-28,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,5428861.0,149130811.67,2.78
2021-09-28,ARKW,PAYPAL HOLDINGS INC,PYPL,193421.0,52879367.19,0.98
2021-09-28,ARKW,PELOTON INTERACTIVE INC-A,PTON,1758817.0,161934281.19,3.01
2021-09-28,ARKW,ROBINHOOD MARKETS INC - A,HOOD,1765630.0,79029598.8,1.47
2021-09-28,ARKW,ROBLOX CORP -CLASS A,RBLX,1323294.0,105850287.06,1.97
2021-09-28,ARKW,ROKU INC,ROKU,686486.0,220526762.64,4.1
2021-09-28,ARKW,SEA LTD-ADR,SE,225864.0,75949028.64,1.41
2021-09-28,ARKW,SHOPIFY INC - CLASS A,SHOP,150562.0,217382921.22,4.05
2021-09-28,ARKW,SKILLZ INC,SKLZ,6174439.0,70512093.38,1.31
2021-09-28,ARKW,SNAP INC - A,SNAP,776628.0,62192370.24,1.16
2021-09-28,ARKW,SNOWFLAKE INC-CLASS A,SNOW,98.0,30497.6,0.0
2021-09-28,ARKW,SPLUNK INC,SPLK,575553.0,85642286.4,1.59
2021-09-28,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,849646.0,197916539.24,3.68
2021-09-28,ARKW,SQUARE INC - A,SQ,800014.0,206491613.54,3.84
2021-09-28,ARKW,TELADOC HEALTH INC,TDOC,1965094.0,264776765.56,4.93
2021-09-28,ARKW,TESLA INC,TSLA,723929.0,572888453.44,10.66
2021-09-28,ARKW,TWILIO INC - A,TWLO,561860.0,193909123.2,3.61
2021-09-28,ARKW,TWITTER INC,TWTR,4568668.0,298653827.16,5.56
2021-09-28,ARKW,UIPATH INC - CLASS A,PATH,2535782.0,138098687.72,2.57
2021-09-28,ARKW,UNITY SOFTWARE INC,U,1736028.0,239276739.24,4.45
2021-09-28,ARKW,VERACYTE INC,VCYT,1145922.0,54637560.96,1.02
2021-09-28,ARKW,VUZIX CORP,VUZI,5179649.0,58892609.13,1.1
2021-09-28,ARKW,WALT DISNEY CO/THE,DIS,402114.0,71680841.64,1.33
2021-09-28,ARKW,ZILLOW GROUP INC - C,Z,1290718.0,116771257.46,2.17
2021-09-28,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,657810.0,179503192.8,3.34
