date,fund,company,ticker,shares,market value($),weight(%)
2021-10-01,ARKX,AEROVIRONMENT INC,AVAV,210513.0,18171482.16,3.35
2021-10-01,ARKX,AIRBUS SE,AIR,43493.0,5798730.8,1.07
2021-10-01,ARKX,ALPHABET INC-CL C,GOOG,3397.0,9054058.07,1.67
2021-10-01,ARKX,AMAZON.COM INC,AMZN,4684.0,15387127.36,2.84
2021-10-01,ARKX,ANSYS INC,ANSS,16532.0,5628319.4,1.04
2021-10-01,ARKX,ARCHER AVIATION INC-A,ACHR,923739.0,8202802.32,1.51
2021-10-01,ARKX,BLADE AIR MOBILITY INC,BLDE,1556042.0,16182836.8,2.99
2021-10-01,ARKX,BOEING CO/THE,BA,30281.0,6660003.14,1.23
2021-10-01,ARKX,DASSAULT SYSTEMES SE,DSY FP,300462.0,15823589.52,2.92
2021-10-01,ARKX,DEERE & CO,DE,32802.0,10990966.14,2.03
2021-10-01,ARKX,DREYFUS GOVT CASH MAN INS,,2249876.41,2249876.41,0.42
2021-10-01,ARKX,ELBIT SYSTEMS LTD,ESLT,59023.0,8548891.32,1.58
2021-10-01,ARKX,GARMIN LTD,GRMN U,32382.0,5034105.72,0.93
2021-10-01,ARKX,HEICO CORP,HEI,42423.0,5594321.01,1.03
2021-10-01,ARKX,HONEYWELL INTERNATIONAL INC,HON,28743.0,6101564.04,1.13
2021-10-01,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,689904.0,27492674.4,5.07
2021-10-01,ARKX,JD LOGISTICS INC,2618,5417313.0,22547056.22,4.16
2021-10-01,ARKX,JOBY AVIATION INC,JOBY,1101104.0,11077106.24,2.04
2021-10-01,ARKX,KOMATSU LTD,6301,1028088.0,24895073.09,4.59
2021-10-01,ARKX,KRATOS DEFENSE & SECURITY,KTOS,1525914.0,34043141.34,6.28
2021-10-01,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,139076.0,30630098.24,5.65
2021-10-01,ARKX,LOCKHEED MARTIN CORP,LMT,85849.0,29626489.9,5.47
2021-10-01,ARKX,MARKFORGED HOLDING CORP,MKFG,1186466.0,7783216.96,1.44
2021-10-01,ARKX,NETFLIX INC,NFLX,25376.0,15487987.84,2.86
2021-10-01,ARKX,NVIDIA CORP,NVDA,7817.0,1619369.72,0.3
2021-10-01,ARKX,PALANTIR TECHNOLOGIES INC-A,PLTR,283345.0,6811613.8,1.26
2021-10-01,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,225085.0,9946506.15,1.84
2021-10-01,ARKX,SYNOPSYS INC,SNPS,17406.0,5211530.46,0.96
2021-10-01,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,11315.0,4860697.7,0.9
2021-10-01,ARKX,TERADYNE INC,TER,80608.0,8799975.36,1.62
2021-10-01,ARKX,THALES SA,HO,223576.0,21795617.0,4.02
2021-10-01,ARKX,THE 3D PRINTING ETF,PRNT,1131579.0,40397370.3,7.46
2021-10-01,ARKX,TRIMBLE INC,TRMB,607498.0,49966710.5,9.22
2021-10-01,ARKX,UIPATH INC - CLASS A,PATH,310235.0,16321463.35,3.01
2021-10-01,ARKX,UNITY SOFTWARE INC,U,210475.0,26572468.75,4.9
2021-10-01,ARKX,VELO3D INC,VLD,781835.0,6543958.95,1.21
