date,fund,company,ticker,shares,market value($),weight(%)
2021-10-01,IZRL,ABRA INFORMATION TECHNOLOGIE,ABRA,2530549.0,3053346.24,1.17
2021-10-01,IZRL,ALLOT LTD,ALLT,194765.0,2894207.9,1.11
2021-10-01,IZRL,AQUARIUS ENGINES AM LTD,AQUA,259744.0,2662739.56,1.02
2021-10-01,IZRL,ARAD LTD,ARD,281092.0,4128384.81,1.58
2021-10-01,IZRL,AUDIOCODES LTD,AUDC,111047.0,3613469.38,1.38
2021-10-01,IZRL,AUGWIND ENERGY TECH STORAGE,AUGN,183185.0,2642132.32,1.01
2021-10-01,IZRL,BATM ADVANCED COMMUNICATIONS,BATM,3064234.0,3670674.7,1.41
2021-10-01,IZRL,BET SHEMESH ENGINES HOLDINGS,BSEN,186041.0,4056726.16,1.55
2021-10-01,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,3484601.0,4116951.32,1.58
2021-10-01,IZRL,BIOLINERX LTD-SPONS ADR,BLRX ,1073913.0,2931782.49,1.12
2021-10-01,IZRL,CAMTEK LTD,CAMT,103588.0,4196349.88,1.61
2021-10-01,IZRL,CELLCOM ISRAEL LTD,CEL,945639.0,3299815.06,1.26
2021-10-01,IZRL,CERAGON NETWORKS LTD,CRNT,1028812.0,3590553.88,1.38
2021-10-01,IZRL,CHECK CAP LTD,CHEK,3050528.0,2673177.69,1.02
2021-10-01,IZRL,CHECK POINT SOFTWARE TECH,CHKP,28702.0,3244474.08,1.24
2021-10-01,IZRL,CHEMOMAB THERAPEUTICS LTD,CMMB,180523.0,2000194.84,0.77
2021-10-01,IZRL,COGNYTE SOFTWARE LTD,CGNT,144092.0,2961090.6,1.13
2021-10-01,IZRL,COLLPLANT BIOTECHNOLOGIES LT,CLGN UQ,191290.0,3228975.2,1.24
2021-10-01,IZRL,COMPUGEN LTD,CGEN,356123.0,2126054.31,0.81
2021-10-01,IZRL,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,26205.0,4135673.1,1.58
2021-10-01,IZRL,DANEL (ADIR YEOSHUA) LTD,DANE,17342.0,3388842.88,1.3
2021-10-01,IZRL,DREYFUS GOVT CASH MAN INS,,1114715.66,1114715.66,0.43
2021-10-01,IZRL,E & M COMPUTING,EMCO,604575.0,3549870.42,1.36
2021-10-01,IZRL,ELBIT SYSTEMS LTD,ESLT,27756.0,4042934.16,1.55
2021-10-01,IZRL,ELECTRA CONSUMER PRODUCTS 19,ECP,67884.0,3314239.24,1.27
2021-10-01,IZRL,ENLIVEX THERAPEUTICS LTD,ENLV,457797.0,4523034.36,1.73
2021-10-01,IZRL,ENTERA BIO LTD,ENTX,683007.0,3216962.97,1.23
2021-10-01,IZRL,EVOGENE LTD,EVGN,1102627.0,2930693.95,1.12
2021-10-01,IZRL,FATTAL HOLDINGS 1998 LTD,FTAL,37250.0,3359946.65,1.29
2021-10-01,IZRL,FIVERR INTERNATIONAL LTD,FVRR,16888.0,3085099.84,1.18
2021-10-01,IZRL,GAMIDA CELL LTD,GMDA,623674.0,2444802.08,0.94
2021-10-01,IZRL,GILAT SATELLITE NETWORKS LTD,GILT,384275.0,3454632.25,1.32
2021-10-01,IZRL,HILAN LTD,HLAN,68640.0,3874898.8,1.48
2021-10-01,IZRL,ICECURE MEDICAL LTD,ICCM,313207.87,2737696.86,1.05
2021-10-01,IZRL,INMODE LTD,INMD,34550.0,5508997.5,2.11
2021-10-01,IZRL,INNOVIZ TECHNOLOGIES LTD,INVZ UR,352816.0,2032220.16,0.78
2021-10-01,IZRL,INTERCURE LTD,INCR,287671.15,1976431.39,0.76
2021-10-01,IZRL,ITURAN LOCATION AND CONTROL,ITRN,144561.0,3670403.79,1.41
2021-10-01,IZRL,JFROG LTD,FROG,81075.0,2716012.5,1.04
2021-10-01,IZRL,KAMADA LTD,KMDA,647538.0,3436584.06,1.32
2021-10-01,IZRL,KORNIT DIGITAL LTD,KRNT,30678.0,4440333.72,1.7
2021-10-01,IZRL,MAGIC SOFTWARE ENTERPRISES,MGIC,211100.0,4189326.14,1.61
2021-10-01,IZRL,MALAM - TEAM LTD,MLTM,113425.0,3701146.11,1.42
2021-10-01,IZRL,MATRIX IT LTD,MTRX,139976.0,3734343.2,1.43
2021-10-01,IZRL,MEDIWOUND LTD,MDWD,764876.0,2547037.08,0.98
2021-10-01,IZRL,MONDAY.COM LTD,MNDY,16936.0,5524523.2,2.12
2021-10-01,IZRL,NANO DIMENSION LTD - ADR,NNDM,541580.0,3054511.2,1.17
2021-10-01,IZRL,NANO-X IMAGING LTD,NNOX,123613.0,2781292.5,1.07
2021-10-01,IZRL,NAYAX LTD,NYAX,1223010.0,4867078.68,1.87
2021-10-01,IZRL,NICE LTD - SPON ADR,NICE,13917.0,3952984.68,1.51
2021-10-01,IZRL,NOVA LTD,NVMI,37720.0,3858378.8,1.48
2021-10-01,IZRL,ONE SOFTWARE TECHNOLOGIES LT,ONE,238131.0,3847529.83,1.47
2021-10-01,IZRL,PARTNER COMMUNICATIONS CO,PTNR,841116.0,3910832.62,1.5
2021-10-01,IZRL,PERION NETWORK LTD,PERI,196809.0,3410699.97,1.31
2021-10-01,IZRL,PHINERGY LTD,PNRG,923518.0,2035265.87,0.78
2021-10-01,IZRL,PLASSON INDUSTRIES LTD,PLSN,69361.0,4900955.6,1.88
2021-10-01,IZRL,PLAYTIKA HOLDING CORP,PLTK,155506.0,4296630.78,1.65
2021-10-01,IZRL,PLURISTEM THERAPEUTICS INC,PSTI,925361.0,2452206.65,0.94
2021-10-01,IZRL,POLYPID LTD,PYPD,471414.0,3672315.06,1.41
2021-10-01,IZRL,PRIORTECH LTD,PRTC,137641.0,4461447.76,1.71
2021-10-01,IZRL,PURPLE BIOTECH LTD-ADR,PPBT,736019.0,3356246.64,1.29
2021-10-01,IZRL,RADA ELECTRONIC INDS LTD,RADA,295623.0,3145428.72,1.21
2021-10-01,IZRL,RADWARE LTD,RDWR,115827.0,3905686.44,1.5
2021-10-01,IZRL,REDHILL BIOPHARMA LTD-SP ADR,RDHL,19132.0,87624.56,0.03
2021-10-01,IZRL,SAPIENS INTERNATIONAL CORP,SPNS,140213.0,4035330.14,1.55
2021-10-01,IZRL,SILICOM LTD,SILC,86684.0,3749083.0,1.44
2021-10-01,IZRL,SIMILARWEB LTD,SMWB,155712.0,3259052.16,1.25
2021-10-01,IZRL,SOLAREDGE TECHNOLOGIES INC,SEDG,14688.0,3895551.36,1.49
2021-10-01,IZRL,STRATASYS LTD,SSYS,129207.0,2780534.64,1.07
2021-10-01,IZRL,TARO PHARMACEUTICAL INDUS,TARO,51167.0,3255756.21,1.25
2021-10-01,IZRL,TEVA PHARMACEUTICAL-SP ADR,TEVA,403996.0,3934921.04,1.51
2021-10-01,IZRL,TOWER SEMICONDUCTOR LTD,TSEM,133576.0,3993922.4,1.53
2021-10-01,IZRL,TUFIN SOFTWARE TECHNOLOGIES,TUFN,344275.0,3384223.25,1.3
2021-10-01,IZRL,UROGEN PHARMA LTD,URGN UQ,244165.0,4106855.3,1.57
2021-10-01,IZRL,VASCULAR BIOGENICS LTD,VBLT,1393460.0,2856593.0,1.09
2021-10-01,IZRL,WALKME LTD,WKME,118336.0,3520496.0,1.35
2021-10-01,IZRL,WIX.COM LTD,WIX,12374.0,2424932.78,0.93
