date,fund,company,ticker,shares,market value($),weight(%)
2021-09-27,PRNT,3D SYSTEMS CORP,DDD,853901.0,24891214.15,5.01
2021-09-27,PRNT,3M CO,MMM,2687.0,486454.48,0.1
2021-09-27,PRNT,5N PLUS INC,VNP,245637.0,566779.96,0.11
2021-09-27,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,123927.0,5286725.82,1.06
2021-09-27,PRNT,ALIGN TECHNOLOGY INC,ALGN,9751.0,7071815.24,1.42
2021-09-27,PRNT,ALLEGHENY TECHNOLOGIES INC,ATI,26028.0,437270.4,0.09
2021-09-27,PRNT,ALTAIR ENGINEERING INC - A,ALTR,272899.0,20317330.55,4.09
2021-09-27,PRNT,AMETEK INC,AME,45916.0,5951172.76,1.2
2021-09-27,PRNT,ANSYS INC,ANSS,52674.0,19044284.7,3.83
2021-09-27,PRNT,ARCONIC CORP,ARNC,172766.0,5378205.58,1.08
2021-09-27,PRNT,ARKEMA,AKE,4311.0,579850.97,0.12
2021-09-27,PRNT,AUTODESK INC,ADSK,62446.0,18400962.82,3.7
2021-09-27,PRNT,BICO GROUP AB,BICO,338363.0,20893723.22,4.2
2021-09-27,PRNT,CARPENTER TECHNOLOGY,CRS,14247.0,465591.96,0.09
2021-09-27,PRNT,CONFORMIS INC,CFMS,14947027.0,19580605.37,3.94
2021-09-27,PRNT,DASSAULT SYSTEMES SE,DSY FP,357434.0,20750854.95,4.17
2021-09-27,PRNT,DESKTOP METAL INC-A,DM,2006787.0,15592734.99,3.14
2021-09-27,PRNT,DREYFUS GOVT CASH MAN INS,,636067.86,636067.86,0.13
2021-09-27,PRNT,DUPONT DE NEMOURS INC,DD,6852.0,467649.0,0.09
2021-09-27,PRNT,EASTMAN CHEMICAL CO,EMN,4806.0,491173.2,0.1
2021-09-27,PRNT,EASTMAN KODAK CO,KODK,73363.0,516475.52,0.1
2021-09-27,PRNT,EVONIK INDUSTRIES AG,EVK,15920.0,510894.9,0.1
2021-09-27,PRNT,EXCO TECHNOLOGIES LTD,XTC,689875.0,5478659.62,1.1
2021-09-27,PRNT,EXONE CO/THE,XONE,1108338.0,26178943.56,5.27
2021-09-27,PRNT,FARO TECHNOLOGIES INC,FARO,81449.0,5506766.89,1.11
2021-09-27,PRNT,GENERAL ELECTRIC CO,GE,57161.0,5933311.8,1.19
2021-09-27,PRNT,GREAT BRITISH POUND,,0.24,0.33,0.0
2021-09-27,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5290.0,491378.09,0.1
2021-09-27,PRNT,HEXAGON AB-B SHS,HEXAB S,400873.0,6631855.96,1.33
2021-09-27,PRNT,HEXCEL CORP,HXL,9357.0,562074.99,0.11
2021-09-27,PRNT,HP INC,HPQ,666849.0,18598418.61,3.74
2021-09-27,PRNT,KAISER ALUMINUM CORP,KALU,49722.0,5434117.38,1.09
2021-09-27,PRNT,KONINKLIJKE DSM NV,DSM,2859.0,607977.15,0.12
2021-09-27,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,43098.0,5738498.7,1.15
2021-09-27,PRNT,MATERIALISE NV-ADR,MTLS,809170.0,17478072.0,3.52
2021-09-27,PRNT,MICHELIN (CGDE),ML,35908.0,5614437.73,1.13
2021-09-27,PRNT,MICROSOFT CORP,MSFT,64706.0,19369741.1,3.9
2021-09-27,PRNT,MOOG INC-CLASS A,MOG/A,72383.0,5564805.04,1.12
2021-09-27,PRNT,NANO DIMENSION LTD - ADR,NNDM,2817995.0,16823430.15,3.38
2021-09-27,PRNT,OC OERLIKON CORP AG-REG,OERL,514465.0,5894534.94,1.19
2021-09-27,PRNT,PROTO LABS INC,PRLB,221389.0,15847024.62,3.19
2021-09-27,PRNT,PTC INC,PTC,130154.0,16076622.08,3.23
2021-09-27,PRNT,PYROGENESIS CANADA INC,PYR,120015.0,477973.61,0.1
2021-09-27,PRNT,RENISHAW PLC,RSW,275424.0,19899598.62,4.0
2021-09-27,PRNT,SANDVIK AB,SAND,20310.0,490155.21,0.1
2021-09-27,PRNT,SGL CARBON SE,SGL,49426.0,553617.53,0.11
2021-09-27,PRNT,SIEMENS AG-REG,SIE,36742.0,6369474.31,1.28
2021-09-27,PRNT,SLM SOLUTIONS GROUP AG,AM3D,923789.0,20326605.06,4.09
2021-09-27,PRNT,STRATASYS LTD,SSYS,633749.0,14132602.7,2.84
2021-09-27,PRNT,STRAUMANN HOLDING AG-REG,STMN,10868.0,21938053.29,4.41
2021-09-27,PRNT,TORAY INDUSTRIES INC,3402,84799.0,555909.66,0.11
2021-09-27,PRNT,TRIMBLE INC,TRMB,225112.0,19742322.4,3.97
2021-09-27,PRNT,UNITED PARCEL SERVICE-CL B,UPS,27427.0,5156824.54,1.04
2021-09-27,PRNT,VOESTALPINE AG,VOE,12951.0,495279.02,0.1
2021-09-27,PRNT,XEROX HOLDINGS CORP,XRX,23082.0,479413.14,0.1
2021-09-27,PRNT,XOMETRY INC-A,XMTR,247492.0,14446108.04,2.91
