date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-09-30,ARKF,ADYEN NV,ADYEN,41084.0,118.83,2892.32,0.0369,-124.0,-0.36,-1.59,-29.88,-0.0102,0.0054,Sell
2021-09-30,ARKF,AMAZON.COM INC,AMZN,8626.0,28.48,3301.12,0.0089,-24.0,-0.08,-0.21,-14.84,-0.0045,0.023,Sell
2021-09-30,ARKF,BILL.COM HOLDINGS INC,BILL,197523.0,51.28,259.61,0.0159,-604.0,-0.16,0.01,0.84,0.0032,0.0192,Sell
2021-09-30,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,799921.0,180.21,225.28,0.056,-2436.0,-0.55,-4.21,-4.56,-0.0198,-0.0036,Sell
2021-09-30,ARKF,DISCOVERY LTD,DSY,6693630.0,59.0,8.81,0.0183,-20384.0,-0.18,-0.12,0.0,0.0,0.0167,Sell
2021-09-30,ARKF,DOCUSIGN INC,DOCU,294911.0,75.76,256.89,0.0236,-900.0,-0.23,-0.86,-2.11,-0.0081,0.0129,Sell
2021-09-30,ARKF,DRAFTKINGS INC - CL A,DKNG,1414517.0,68.35,48.32,0.0213,-4308.0,-0.21,-2.49,-1.61,-0.0322,-0.0139,Sell
2021-09-30,ARKF,DREYFUS GOVT CASH MAN INS,,13648374.31,13.65,1.0,0.0042,-301552.25,-0.3,-0.3,0.0,0.0,-0.0233,Sell
2021-09-30,ARKF,ETSY INC,ETSY,234623.0,48.17,205.3,0.015,-716.0,-0.15,-1.81,-7.05,-0.0332,-0.0132,Sell
2021-09-30,ARKF,FACEBOOK INC-CLASS A,FB,210073.0,71.34,339.61,0.0222,-640.0,-0.22,-0.44,-1.04,-0.0031,0.0137,Sell
2021-09-30,ARKF,FARFETCH LTD-CLASS A,FTCH,1103499.0,40.72,36.9,0.0127,-3360.0,-0.12,-2.34,-2.0,-0.0514,-0.0305,Sell
2021-09-30,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,499424.0,58.38,116.9,0.0182,-1520.0,-0.18,-0.0,0.35,0.003,0.0225,Sell
2021-09-30,ARKF,INTUIT INC,INTU,122560.0,67.03,546.93,0.0208,-372.0,-0.2,0.03,1.92,0.0035,0.0196,Sell
2021-09-30,ARKF,JD.COM INC-ADR,JD,1141897.0,81.78,71.62,0.0254,-3476.0,-0.25,-4.6,-3.8,-0.0504,-0.0342,Sell
2021-09-30,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,205059.0,21.49,104.8,0.0067,-624.0,-0.07,-0.85,-3.8,-0.035,-0.0147,Sell
2021-09-30,ARKF,LENDINGCLUB CORP,LC,2220185.0,59.39,26.75,0.0185,-6760.0,-0.18,-1.03,-0.38,-0.014,0.0054,Sell
2021-09-30,ARKF,MERCADOLIBRE INC,MELI,66473.0,110.54,1662.99,0.0344,-204.0,-0.34,-1.61,-19.02,-0.0113,0.0058,Sell
2021-09-30,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,5891368.0,117.59,19.96,0.0366,-17936.0,-0.36,-0.89,-0.09,-0.0045,0.0139,Sell
2021-09-30,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,1775802.0,43.54,24.52,0.0135,-5408.0,-0.13,-1.59,-0.82,-0.0324,-0.0217,Sell
2021-09-30,ARKF,PAYPAL HOLDINGS INC,PYPL,573080.0,148.43,259.0,0.0461,-1748.0,-0.45,-2.29,-3.19,-0.0122,0.0044,Sell
2021-09-30,ARKF,PINDUODUO INC-ADR,PDD,657746.0,58.58,89.06,0.0182,-2004.0,-0.18,-0.14,0.06,0.0007,0.0168,Sell
2021-09-30,ARKF,PINTEREST INC- CLASS A,PINS,1605168.0,80.85,50.37,0.0251,-4888.0,-0.25,-2.79,-1.58,-0.0304,-0.0157,Sell
2021-09-30,ARKF,ROBINHOOD MARKETS INC - A,HOOD,1412536.0,60.92,43.13,0.0189,-4300.0,-0.19,-2.3,-1.49,-0.0334,-0.0207,Sell
2021-09-30,ARKF,SEA LTD-ADR,SE,474085.0,147.81,311.78,0.046,-1444.0,-0.45,-2.8,-4.94,-0.0156,0.0022,Sell
2021-09-30,ARKF,SHOPIFY INC - CLASS A,SHOP,149264.0,200.99,1346.55,0.0625,-456.0,-0.61,-4.02,-22.76,-0.0166,0.0,Sell
2021-09-30,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,620223.0,71.68,115.57,0.0223,-1888.0,-0.22,3.53,6.02,0.055,0.0721,Sell
2021-09-30,ARKF,SNAP INC - A,SNAP,493128.0,35.39,71.76,0.011,-1504.0,-0.11,-1.42,-2.66,-0.0357,-0.0179,Sell
2021-09-30,ARKF,SQUARE INC - A,SQ,1411325.0,333.13,236.04,0.1036,-4296.0,-1.01,-10.44,-6.66,-0.0274,-0.0105,Sell
2021-09-30,ARKF,STONECO LTD-A,STNE,1820102.0,63.12,34.68,0.0196,-5544.0,-0.19,-3.17,-1.63,-0.0449,-0.0297,Sell
2021-09-30,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,744771.0,65.39,87.8,0.0203,-2268.0,-0.2,1.58,2.38,0.0279,0.0464,Sell
2021-09-30,ARKF,TELADOC HEALTH INC,TDOC,666908.0,83.98,125.92,0.0261,-2032.0,-0.26,-3.15,-4.33,-0.0332,-0.0188,Sell
2021-09-30,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,731710.0,42.66,58.3,0.0133,-2228.0,-0.13,-0.64,-0.7,-0.0119,0.0076,Sell
2021-09-30,ARKF,TOAST INC-CLASS A,TOST,14765.0,0.74,49.78,0.0002,-48.0,-0.0,-0.02,-1.07,-0.021,0.0,Sell
2021-09-30,ARKF,TWILIO INC - A,TWLO,353164.0,110.47,312.8,0.0343,-1076.0,-0.34,-3.65,-9.35,-0.029,-0.0144,Sell
2021-09-30,ARKF,UIPATH INC - CLASS A,PATH,1665307.0,86.6,52.0,0.0269,-5072.0,-0.26,-0.85,-0.35,-0.0067,0.0113,Sell
2021-09-30,ARKF,WORKDAY INC-CLASS A,WDAY,245334.0,61.21,249.51,0.019,-748.0,-0.19,-0.89,-2.86,-0.0113,0.0053,Sell
2021-09-30,ARKF,Z HOLDINGS CORP,4689,11090676.0,73.29,6.61,0.0228,-34000.0,-0.22,-1.68,-0.13,-0.0193,0.0,Sell
2021-09-30,ARKF,ZILLOW GROUP INC - C,Z,2047317.0,175.37,85.66,0.0545,-6232.0,-0.53,-5.28,-2.31,-0.0263,-0.0109,Sell
