date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-09-29,ARKG,10X GENOMICS INC-CLASS A,TXG,630773.0,92.12,146.04,0.0128,-3290.0,-0.48,-4.5,-6.34,-0.0416,0.0,Sell
2021-09-29,ARKG,1LIFE HEALTHCARE INC,ONEM,3589567.0,72.4,20.17,0.0101,-18700.0,-0.38,2.0,0.66,0.0338,0.086,Sell
2021-09-29,ARKG,908 DEVICES INC,MASS,2734497.0,87.53,32.01,0.0122,-5700.0,-0.18,-4.24,-1.48,-0.0442,0.0083,Sell
2021-09-29,ARKG,ACCOLADE INC,ACCD,5232817.0,219.1,41.87,0.0304,-27250.0,-1.14,-9.5,-1.59,-0.0366,0.0033,Sell
2021-09-29,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,4855514.0,162.42,33.45,0.0225,-25290.0,-0.85,-12.46,-2.38,-0.0664,-0.0302,Sell
2021-09-29,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,6232584.0,25.43,4.08,0.0035,-32460.0,-0.13,-0.82,-0.11,-0.0263,0.0,Sell
2021-09-29,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,2527455.0,121.09,47.91,0.0168,-13160.0,-0.63,-6.27,-2.22,-0.0443,-0.0059,Sell
2021-09-29,ARKG,BEAM THERAPEUTICS INC,BEAM,1957520.0,178.33,91.1,0.0248,17295.0,1.58,-5.68,-3.74,-0.0394,0.0164,Buy
2021-09-29,ARKG,BERKELEY LIGHTS INC,BLI,3878268.0,79.39,20.47,0.011,-20200.0,-0.41,-3.45,-0.78,-0.0367,0.0,Sell
2021-09-29,ARKG,BUTTERFLY NETWORK INC,BFLY,7192997.0,77.47,10.77,0.0108,-37460.0,-0.4,-5.9,-0.76,-0.0659,-0.0182,Sell
2021-09-29,ARKG,CAREDX INC,CDNA,3410387.0,201.72,59.15,0.028,-17760.0,-1.05,-10.65,-2.8,-0.0452,-0.0036,Sell
2021-09-29,ARKG,CARIBOU BIOSCIENCES INC,CRBU,144419.0,3.47,24.06,0.0005,-241900.0,-5.82,-5.81,0.03,0.0012,-0.5833,Sell
2021-09-29,ARKG,CASTLE BIOSCIENCES INC,CSTL,2104745.0,138.66,65.88,0.0192,-10960.0,-0.72,-11.81,-5.24,-0.0737,-0.0352,Sell
2021-09-29,ARKG,CELLECTIS - ADR,CLLS,3833276.0,49.68,12.96,0.0069,-20670.0,-0.27,-2.39,-0.55,-0.0407,0.0,Sell
2021-09-29,ARKG,CERUS CORP,CERS,5207739.0,32.24,6.19,0.0045,-27130.0,-0.17,-1.48,-0.25,-0.0388,0.0,Sell
2021-09-29,ARKG,CODEXIS INC,CDXS,5880757.0,137.02,23.3,0.019,-30630.0,-0.71,-10.47,-1.65,-0.0661,-0.0256,Sell
