date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-10-01,ARKK,10X GENOMICS INC-CLASS A,TXG,2092907.0,304.69,145.58,0.0157,-2985.0,-0.43,-1.19,-0.36,-0.0025,-0.0126,Sell
2021-10-01,ARKK,2U INC,TWOU,5026192.0,168.73,33.57,0.0087,-28800.0,-0.97,-0.06,0.18,0.0054,-0.0114,Sell
2021-10-01,ARKK,BEAM THERAPEUTICS INC,BEAM,4828542.0,420.13,87.01,0.0217,123945.0,10.78,9.7,-0.23,-0.0026,0.0188,Buy
2021-10-01,ARKK,BERKELEY LIGHTS INC,BLI,4624845.0,90.46,19.56,0.0047,-6595.0,-0.13,0.15,0.06,0.0031,0.0,Sell
2021-10-01,ARKK,CERUS CORP,CERS,10421872.0,63.47,6.09,0.0033,-59720.0,-0.36,-0.36,0.0,0.0,0.0,Sell
2021-10-01,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,4333704.0,985.83,227.48,0.051,-6180.0,-1.41,8.14,2.2,0.0098,0.0039,Sell
2021-10-01,ARKK,COMPUGEN LTD,CGEN,5482998.0,32.73,5.97,0.0017,-31420.0,-0.19,0.09,0.05,0.0084,0.0,Sell
2021-10-01,ARKK,CRISPR THERAPEUTICS AG,CRSP,4859384.0,543.91,111.93,0.0281,-6930.0,-0.78,7.64,1.73,0.0157,0.0108,Sell
2021-10-01,ARKK,DOCUSIGN INC,DOCU,1253221.0,322.62,257.43,0.0167,-1790.0,-0.46,0.22,0.54,0.0021,0.0,Sell
2021-10-01,ARKK,DRAFTKINGS INC - CL A,DKNG,10801151.0,520.18,48.16,0.0269,-15405.0,-0.74,-2.47,-0.16,-0.0033,-0.0074,Sell
2021-10-01,ARKK,DREYFUS GOVT CASH MAN INS,,38943566.2,38.94,1.0,0.002,24594052.47,24.59,24.59,0.0,0.0,1.8571,Buy
2021-10-01,ARKK,EDITAS MEDICINE INC,EDIT,3961353.0,162.73,41.08,0.0084,-5650.0,-0.23,-5.87,-1.42,-0.0334,-0.0455,Sell
2021-10-01,ARKK,EXACT SCIENCES CORP,EXAS,6612351.0,631.15,95.45,0.0326,-9430.0,-0.9,24.26,3.8,0.0415,0.0349,Sell
2021-10-01,ARKK,FATE THERAPEUTICS INC,FATE,6068939.0,359.71,59.27,0.0186,-8655.0,-0.51,-3.73,-0.53,-0.0089,-0.0159,Sell
2021-10-01,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,11536257.0,133.71,11.59,0.0069,157308.0,1.82,-5.12,-0.61,-0.05,-0.0417,Buy
2021-10-01,ARKK,INTELLIA THERAPEUTICS INC,NTLA,4001000.0,536.73,134.15,0.0277,-5705.0,-0.77,-14.43,-3.41,-0.0248,-0.0315,Sell
2021-10-01,ARKK,INVITAE CORP,NVTA,15543836.0,441.91,28.43,0.0228,-22170.0,-0.63,-0.32,0.02,0.0007,-0.0087,Sell
2021-10-01,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,5312590.0,131.01,24.66,0.0068,-7580.0,-0.19,4.44,0.87,0.0366,0.0303,Sell
2021-10-01,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,7285612.0,290.33,39.85,0.015,-10390.0,-0.41,-7.49,-0.97,-0.0238,-0.0323,Sell
2021-10-01,ARKK,MATERIALISE NV-ADR,MTLS,3153225.0,63.38,20.1,0.0033,-18060.0,-0.36,0.91,0.4,0.0203,0.0312,Sell
2021-10-01,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,626462.0,30.08,48.01,0.0016,-134852.0,-6.47,-5.02,1.91,0.0414,-0.1111,Sell
2021-10-01,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,117316.0,6.95,59.25,0.0004,-255217.0,-15.12,-15.03,0.24,0.0041,-0.6364,Sell
2021-10-01,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,8059777.0,205.93,25.55,0.0106,-11495.0,-0.29,5.28,0.69,0.0278,0.0192,Sell
2021-10-01,ARKK,PAGERDUTY INC,PD,6813744.0,282.23,41.42,0.0146,-9720.0,-0.4,-8.11,-1.13,-0.0266,-0.0331,Sell
2021-10-01,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,23621434.0,567.86,24.04,0.0293,-33690.0,-0.81,-12.16,-0.48,-0.0196,-0.0266,Sell
2021-10-01,ARKK,PROTO LABS INC,PRLB,1495856.0,99.62,66.6,0.0051,-9552.0,-0.64,-2.77,-1.42,-0.0209,-0.0377,Sell
2021-10-01,ARKK,ROBINHOOD MARKETS INC - A,HOOD,5556044.0,233.8,42.08,0.0121,-7925.0,-0.33,-6.18,-1.05,-0.0243,-0.032,Sell
2021-10-01,ARKK,ROKU INC,ROKU,3466794.0,1086.32,313.35,0.0561,-4945.0,-1.55,34.66,10.43,0.0344,0.0275,Sell
2021-10-01,ARKK,SEA LTD-ADR,SE,189212.0,60.31,318.73,0.0031,-81185.0,-25.88,-24.0,6.95,0.0223,-0.2955,Sell
2021-10-01,ARKK,SHOPIFY INC - CLASS A,SHOP,539825.0,731.88,1355.78,0.0378,-770.0,-1.04,3.95,9.23,0.0069,0.0,Sell
2021-10-01,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,8737286.0,156.14,17.87,0.0081,-12460.0,-0.22,-2.67,-0.28,-0.0154,-0.0122,Sell
2021-10-01,ARKK,SKILLZ INC,SKLZ,11864469.0,116.51,9.82,0.006,-32649.0,-0.32,-2.11,-0.15,-0.015,-0.0323,Sell
2021-10-01,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,3257057.0,733.95,225.34,0.0379,-4645.0,-1.05,15.33,5.02,0.0228,0.0161,Sell
2021-10-01,ARKK,SQUARE INC - A,SQ,3256421.0,781.02,239.84,0.0404,-4645.0,-1.11,11.28,3.8,0.0161,0.01,Sell
2021-10-01,ARKK,STRATASYS LTD,SSYS,3539869.0,76.18,21.52,0.0039,-20280.0,-0.44,-0.69,-0.07,-0.0032,-0.025,Sell
2021-10-01,ARKK,TELADOC HEALTH INC,TDOC,8616386.0,1092.64,126.81,0.0565,-12290.0,-1.56,6.12,0.89,0.0071,0.0018,Sell
2021-10-01,ARKK,TERADYNE INC,TER,475.0,0.05,109.17,0.0,-16108.0,-1.76,-1.76,0.0,0.0,-1.0,Sell
2021-10-01,ARKK,TESLA INC,TSLA,2545118.0,1973.69,775.48,0.102,-3630.0,-2.81,-17.67,-5.83,-0.0075,-0.0135,Sell
2021-10-01,ARKK,TRIMBLE INC,TRMB,1347244.0,110.81,82.25,0.0057,-1920.0,-0.16,-2.94,-2.06,-0.0244,-0.0339,Sell
2021-10-01,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,7014748.0,260.46,37.13,0.0135,-10005.0,-0.37,14.52,2.12,0.0606,0.0547,Sell
2021-10-01,ARKK,TWILIO INC - A,TWLO,2003447.0,639.2,319.05,0.033,-2855.0,-0.91,11.63,6.25,0.02,0.0123,Sell
2021-10-01,ARKK,TWIST BIOSCIENCE CORP,TWST,1572732.0,168.24,106.97,0.0087,-9020.0,-0.96,3.21,2.64,0.0253,0.0116,Sell
2021-10-01,ARKK,TWITTER INC,TWTR,7884081.0,476.12,60.39,0.0246,-11245.0,-0.68,1.85,0.32,0.0053,0.0,Sell
2021-10-01,ARKK,UIPATH INC - CLASS A,PATH,11768229.0,619.13,52.61,0.032,-16785.0,-0.88,6.31,0.61,0.0117,0.0063,Sell
2021-10-01,ARKK,UNITY SOFTWARE INC,U,7661245.0,967.23,126.25,0.05,-10925.0,-1.38,1.84,0.42,0.0033,-0.002,Sell
