date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-09-29,ARKQ,2U INC,TWOU,825839.0,28.35,34.33,0.0111,-2576.0,-0.09,-0.68,-0.71,-0.0203,0.0091,Sell
2021-09-29,ARKQ,3D SYSTEMS CORP,DDD,3190806.0,91.03,28.53,0.0356,169059.0,4.82,1.02,-1.26,-0.0423,0.044,Buy
2021-09-29,ARKQ,AEROVIRONMENT INC,AVAV,647020.0,55.74,86.15,0.0218,34834.0,3.0,2.94,-0.1,-0.0012,0.09,Buy
2021-09-29,ARKQ,ALPHABET INC-CL C,GOOG,24926.0,67.89,2723.68,0.0265,-1482.0,-4.04,-6.84,-106.34,-0.0376,-0.0636,Sell
2021-09-29,ARKQ,ANSYS INC,ANSS,73646.0,25.31,343.61,0.0099,-230.0,-0.08,-0.98,-12.25,-0.0344,-0.01,Sell
2021-09-29,ARKQ,ARCHER AVIATION INC-A,ACHR,4551991.0,41.29,9.07,0.0161,68034.0,0.62,0.62,0.0,0.0,0.0455,Buy
2021-09-29,ARKQ,BAIDU INC - SPON ADR,BIDU,235641.0,36.29,154.02,0.0142,-736.0,-0.11,-0.8,-2.92,-0.0186,0.0071,Sell
2021-09-29,ARKQ,BLADE AIR MOBILITY INC,BLDE,4355118.0,47.38,10.88,0.0185,-13588.0,-0.15,-1.85,-0.39,-0.0346,-0.0054,Sell
2021-09-29,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,347690.0,21.37,61.46,0.0084,-1084.0,-0.07,-0.41,-0.98,-0.0157,0.0244,Sell
2021-09-29,ARKQ,CATERPILLAR INC,CAT,218547.0,43.83,200.55,0.0171,-682.0,-0.14,-0.02,0.55,0.0028,0.0301,Sell
2021-09-29,ARKQ,DEERE & CO,DE,233749.0,82.73,353.94,0.0323,-730.0,-0.26,0.1,1.52,0.0043,0.0319,Sell
2021-09-29,ARKQ,DREYFUS GOVT CASH MAN INS,,10589009.96,10.59,1.0,0.0041,3349555.9,3.35,3.35,0.0,0.0,0.5185,Buy
2021-09-29,ARKQ,ELBIT SYSTEMS LTD,ESLT,236199.0,34.35,145.43,0.0134,-736.0,-0.11,-0.49,-1.6,-0.0109,0.0152,Sell
2021-09-29,ARKQ,INTUITIVE SURGICAL INC,ISRG,25056.0,24.87,992.49,0.0097,-78.0,-0.08,-0.61,-21.26,-0.021,0.0,Sell
2021-09-29,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,2941233.0,122.0,41.48,0.0477,-9176.0,-0.38,-5.72,-1.81,-0.0418,-0.0145,Sell
2021-09-29,ARKQ,JAWS SPITFIRE ACQUISITION-A,SPFR,3186031.0,31.38,9.85,0.0123,-9940.0,-0.1,-0.45,-0.11,-0.011,0.0165,Sell
2021-09-29,ARKQ,JD.COM INC-ADR,JD,1265591.0,95.45,75.42,0.0373,-3948.0,-0.3,-1.58,-1.01,-0.0132,0.0136,Sell
2021-09-29,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,3899657.0,95.23,24.42,0.0372,-12166.0,-0.3,-0.81,-0.13,-0.0053,0.022,Sell
2021-09-29,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,7852009.0,176.12,22.43,0.0688,47470.0,1.06,-5.41,-0.83,-0.0357,0.0,Buy
2021-09-29,ARKQ,LOCKHEED MARTIN CORP,LMT,268560.0,94.57,352.15,0.037,-838.0,-0.3,-0.62,-1.21,-0.0034,0.0249,Sell
2021-09-29,ARKQ,MAGNA INTERNATIONAL INC,MGA,708209.0,54.23,76.57,0.0212,-2210.0,-0.17,-1.58,-1.99,-0.0253,0.0047,Sell
2021-09-29,ARKQ,MARKFORGED HOLDING CORP,MKFG,8147254.0,58.99,7.24,0.023,-25420.0,-0.18,-2.96,-0.34,-0.0449,-0.0213,Sell
2021-09-29,ARKQ,MATERIALISE NV-ADR,MTLS,1406090.0,28.16,20.03,0.011,-4388.0,-0.09,-1.81,-1.22,-0.0574,-0.0351,Sell
2021-09-29,ARKQ,NANO DIMENSION LTD - ADR,NNDM,8920634.0,51.74,5.8,0.0202,-27832.0,-0.16,-3.11,-0.33,-0.0538,-0.0288,Sell
2021-09-29,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,2442540.0,57.03,23.35,0.0223,-7620.0,-0.18,-2.24,-0.84,-0.0347,-0.0045,Sell
2021-09-29,ARKQ,NXP SEMICONDUCTORS NV,NXPI,46004.0,9.49,206.19,0.0037,-20229.0,-4.17,-4.87,-10.5,-0.0485,-0.3148,Sell
2021-09-29,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,135437.0,0.91,6.73,0.0004,-422.0,-0.0,-0.06,-0.4,-0.0561,0.0,Sell
2021-09-29,ARKQ,PALANTIR TECHNOLOGIES INC-A,PLTR,1068323.0,27.07,25.34,0.0106,-3334.0,-0.08,-2.37,-2.13,-0.0775,-0.0536,Sell
2021-09-29,ARKQ,PROTO LABS INC,PRLB,386715.0,26.39,68.25,0.0103,-1206.0,-0.08,-1.45,-3.53,-0.0492,-0.019,Sell
2021-09-29,ARKQ,STRATASYS LTD,SSYS,1014820.0,21.98,21.66,0.0086,-3166.0,-0.07,-1.51,-1.42,-0.0615,-0.0337,Sell
2021-09-29,ARKQ,SYNOPSYS INC,SNPS,89080.0,26.9,301.93,0.0105,-278.0,-0.08,-1.11,-11.47,-0.0366,-0.0094,Sell
2021-09-29,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,72950.0,31.53,432.26,0.0123,-228.0,-0.1,-0.12,-0.26,-0.0006,0.025,Sell
2021-09-29,ARKQ,TERADYNE INC,TER,482250.0,53.76,111.47,0.021,-1504.0,-0.17,-3.1,-6.07,-0.0516,-0.0233,Sell
2021-09-29,ARKQ,TESLA INC,TSLA,379573.0,295.14,777.56,0.1153,-45367.0,-35.28,-41.14,-13.8,-0.0174,-0.095,Sell
2021-09-29,ARKQ,TRIMBLE INC,TRMB,2149279.0,181.31,84.36,0.0709,86669.0,7.31,2.63,-2.27,-0.0262,0.0473,Buy
2021-09-29,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,1843929.0,68.48,37.14,0.0268,-5754.0,-0.21,-3.36,-1.7,-0.0438,-0.0147,Sell
2021-09-29,ARKQ,UIPATH INC - CLASS A,PATH,3155461.0,165.19,52.35,0.0645,511419.0,26.77,21.19,-2.11,-0.0387,0.1835,Buy
2021-09-29,ARKQ,UNITY SOFTWARE INC,U,1182168.0,150.35,127.18,0.0588,-3688.0,-0.47,-13.1,-10.65,-0.0773,-0.0501,Sell
2021-09-29,ARKQ,VUZIX CORP,VUZI,2317440.0,24.66,10.64,0.0096,-7230.0,-0.08,-1.77,-0.73,-0.0642,-0.04,Sell
