date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-09-29,ARKW,2U INC,TWOU,1110600.0,38.13,34.33,0.0075,-13806.0,-0.47,-1.27,-0.71,-0.0203,0.0274,Sell
2021-09-29,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1588156.0,46.53,29.3,0.0091,-19746.0,-0.58,-3.16,-1.61,-0.0521,-0.0109,Sell
2021-09-29,ARKW,CLOUDFLARE INC - CLASS A,NET,470536.0,53.21,113.08,0.0105,-5850.0,-0.66,-5.3,-9.73,-0.0792,-0.0367,Sell
2021-09-29,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,1150050.0,264.33,229.84,0.052,-14301.0,-3.29,-6.08,-2.4,-0.0103,0.0338,Sell
2021-09-29,ARKW,CONCORD ACQUISITION CORP -A,CND,2769384.0,27.94,10.09,0.0055,-34425.0,-0.35,-0.29,0.02,0.002,0.0377,Sell
2021-09-29,ARKW,DOCUSIGN INC,DOCU,181305.0,46.96,259.0,0.0092,-2250.0,-0.58,-1.47,-4.82,-0.0183,0.0222,Sell
2021-09-29,ARKW,DRAFTKINGS INC - CL A,DKNG,3513707.0,175.44,49.93,0.0345,-43677.0,-2.18,-7.37,-1.46,-0.0284,0.0147,Sell
2021-09-29,ARKW,DREYFUS GOVT CASH MAN INS,,9679585.05,9.68,1.0,0.0019,-198337.46,-0.2,-0.2,0.0,0.0,0.0556,Sell
2021-09-29,ARKW,ETSY INC,ETSY,384886.0,81.73,212.35,0.0161,-4788.0,-1.02,-6.25,-13.43,-0.0595,-0.0183,Sell
2021-09-29,ARKW,FARFETCH LTD-CLASS A,FTCH,1427952.0,55.55,38.9,0.0109,-17748.0,-0.69,-3.63,-2.03,-0.0496,-0.0091,Sell
2021-09-29,ARKW,GENIUS SPORTS LTD,GENI,3079578.0,53.71,17.44,0.0106,-38286.0,-0.67,-3.94,-1.05,-0.0568,-0.0093,Sell
2021-09-29,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,8141914.0,266.48,32.73,0.0524,-101214.0,-3.31,-15.27,-1.45,-0.0424,0.0,Sell
2021-09-29,ARKW,KHOSLA VENTURES ACQUISITIO-A,KVSB,4784011.0,48.46,10.13,0.0095,-59472.0,-0.6,-0.94,-0.07,-0.0069,0.0326,Sell
2021-09-29,ARKW,LENDINGCLUB CORP,LC,31010.0,0.84,27.13,0.0002,-387.0,-0.01,-0.08,-2.09,-0.0715,0.0,Sell
2021-09-29,ARKW,LIVEPERSON INC,LPSN,958138.0,56.82,59.3,0.0112,61871.0,3.67,1.14,-2.82,-0.0454,0.0769,Buy
2021-09-29,ARKW,MERCADOLIBRE INC,MELI,28558.0,48.03,1682.01,0.0094,-351.0,-0.59,-3.08,-86.14,-0.0487,-0.0105,Sell
2021-09-29,ARKW,NANO DIMENSION LTD - ADR,NNDM,6803553.0,39.46,5.8,0.0078,-84582.0,-0.49,-2.76,-0.33,-0.0538,-0.0127,Sell
2021-09-29,ARKW,OKTA INC,OKTA,227309.0,53.59,235.75,0.0105,-2826.0,-0.67,-1.98,-5.71,-0.0236,0.0194,Sell
2021-09-29,ARKW,PAGERDUTY INC,PD,1525105.0,65.64,43.04,0.0129,-18963.0,-0.82,-4.24,-2.22,-0.049,-0.0077,Sell
