date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-09-27,ARKX,AEROVIRONMENT INC,AVAV,190701.0,16.06,84.22,0.0284,24162.0,2.03,-1.09,-18.78,-0.1823,0.0107,Buy
2021-09-27,ARKX,AIRBUS SE,AIR,43493.0,5.88,135.21,0.0104,-1738.0,-0.23,-0.23,0.11,0.0008,0.04,Sell
2021-09-27,ARKX,ALPHABET INC-CL C,GOOG,3991.0,11.38,2852.66,0.0201,-761.0,-2.17,-2.45,-57.72,-0.0198,-0.1145,Sell
2021-09-27,ARKX,AMAZON.COM INC,AMZN,4684.0,16.05,3425.52,0.0284,-176.0,-0.6,-1.01,-83.77,-0.0239,0.0143,Sell
2021-09-27,ARKX,ANSYS INC,ANSS,16532.0,5.98,361.55,0.0106,-660.0,-0.24,-0.42,-10.52,-0.0283,0.0095,Sell
2021-09-27,ARKX,ARCHER AVIATION INC,ACHR,923739.0,8.57,9.28,0.0151,923739.0,8.57,8.57,,,,Enter
2021-09-27,ARKX,BLADE AIR MOBILITY INC,BLDE,1554732.0,18.08,11.63,0.0319,116026.0,1.35,5.31,2.75,0.3097,0.519,Buy
2021-09-27,ARKX,BOEING CO/THE,BA,30281.0,6.7,221.39,0.0118,-17121.0,-3.79,-3.45,7.15,0.0334,-0.2934,Sell
2021-09-27,ARKX,DASSAULT SYSTEMES SE,DSY FP,300462.0,17.44,58.06,0.0308,-11990.0,-0.7,-0.71,-0.05,-0.0009,0.0336,Sell
2021-09-27,ARKX,DEERE & CO,DE,32802.0,11.46,349.25,0.0202,-1320.0,-0.46,-1.23,-22.49,-0.0605,-0.0288,Sell
2021-09-27,ARKX,DREYFUS GOVT CASH MAN INS,,1901594.66,1.9,1.0,0.0034,-1880743.53,-1.88,-1.88,0.0,0.0,-0.4516,Sell
2021-09-27,ARKX,ELBIT SYSTEMS LTD,ESLT,59023.0,8.69,147.21,0.0154,-2354.0,-0.35,-0.09,4.2,0.0294,0.0694,Sell
2021-09-27,ARKX,GARMIN LTD,GRMN U,32382.0,5.59,172.62,0.0099,-1298.0,-0.22,-0.29,-1.88,-0.0108,0.0313,Sell
2021-09-27,ARKX,HEICO CORP,HEI,50810.0,6.84,134.7,0.0121,5245.0,0.71,1.24,11.63,0.0945,0.3152,Buy
2021-09-27,ARKX,HONEYWELL INTERNATIONAL INC,HON,28743.0,6.3,219.19,0.0111,-1144.0,-0.25,-0.36,-3.74,-0.0168,0.0183,Sell
2021-09-27,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,689904.0,29.72,43.08,0.0525,-171085.0,-7.37,-12.29,-5.71,-0.117,-0.238,Sell
2021-09-27,ARKX,JAWS SPITFIRE ACQUISITION-A,SPFR,781835.0,7.8,9.98,0.0138,89821.0,0.9,0.9,0.0,0.0,0.2212,Buy
2021-09-27,ARKX,JD LOGISTICS INC,2618,5417313.0,22.02,4.07,0.0389,-217000.0,-0.88,-3.34,-0.43,-0.0956,-0.0649,Sell
2021-09-27,ARKX,JOBY AVIATION INC,JOBY,1101104.0,11.34,10.3,0.02,-43920.0,-0.45,0.38,0.73,0.0763,0.1111,Sell
2021-09-27,ARKX,KOMATSU LTD,6301,1028088.0,25.36,24.67,0.0448,41400.0,1.02,-0.01,-1.05,-0.0408,0.0769,Buy
2021-09-27,ARKX,KRATOS DEFENSE & SECURITY,KTOS,1525914.0,34.73,22.76,0.0614,55260.0,1.26,-0.65,-1.3,-0.054,0.0568,Buy
2021-09-27,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,139076.0,31.08,223.49,0.0549,-5544.0,-1.24,-2.14,-6.24,-0.0272,0.0073,Sell
2021-09-27,ARKX,LOCKHEED MARTIN CORP,LMT,85849.0,30.01,349.52,0.053,-3432.0,-1.2,-1.17,0.32,0.0009,0.0352,Sell
2021-09-27,ARKX,MARKFORGED HOLDING CORP,MKFG,1186466.0,8.87,7.48,0.0157,195937.0,1.47,0.92,-0.55,-0.0685,0.2077,Buy
2021-09-27,ARKX,NETFLIX INC,NFLX,25376.0,15.03,592.39,0.0266,-1012.0,-0.6,-0.98,-14.32,-0.0236,0.0114,Sell
2021-09-27,ARKX,NVIDIA CORP,NVDA,7817.0,1.73,220.81,0.003,-18844.0,-4.16,-4.32,-5.81,-0.0256,-0.697,Sell
2021-09-27,ARKX,PALANTIR TECHNOLOGIES INC-A,PLTR,283345.0,8.09,28.56,0.0143,-11308.0,-0.32,0.23,1.86,0.0697,0.1085,Sell
2021-09-27,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,225085.0,9.58,42.57,0.0169,-97065.0,-4.13,-3.16,3.03,0.0766,-0.1914,Sell
2021-09-27,ARKX,SYNOPSYS INC,SNPS,17406.0,5.6,321.94,0.0099,-704.0,-0.23,-0.49,-14.38,-0.0428,-0.01,Sell
