date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-09-27,IZRL,ABRA INFORMATION TECHNOLOGIE,ABRA,2552077.0,3.16,1.24,0.0116,-78947.0,-0.1,-0.19,-0.03,-0.0236,-0.0169,Sell
2021-09-27,IZRL,ALLOT LTD,ALLT,196421.0,3.02,15.4,0.0111,-4416.0,-0.07,-0.1,-0.18,-0.0116,0.0091,Sell
2021-09-27,IZRL,AQUARIUS ENGINES AM LTD,AQUA,261952.0,2.79,10.66,0.0102,-8096.0,-0.09,-0.35,-0.97,-0.0834,-0.0811,Sell
2021-09-27,IZRL,ARAD LTD,ARD,283483.0,4.22,14.88,0.0155,-8767.0,-0.13,-0.09,0.13,0.0088,0.0197,Sell
2021-09-27,IZRL,AUDIOCODES LTD,AUDC,111989.0,3.74,33.42,0.0137,-2512.0,-0.08,-0.02,0.58,0.0177,0.0301,Sell
2021-09-27,IZRL,AUGWIND ENERGY TECH STORAGE,AUGN,184742.0,2.75,14.89,0.0101,-5709.0,-0.09,-0.3,-1.11,-0.0694,-0.0648,Sell
2021-09-27,IZRL,BATM ADVANCED COMMUNICATIONS,BATM,3090301.0,3.82,1.24,0.014,-95598.0,-0.12,-0.24,-0.04,-0.0313,-0.021,Sell
2021-09-27,IZRL,BET SHEMESH ENGINES HOLDINGS,BSEN,187622.0,3.98,21.21,0.0146,-5797.0,-0.12,0.03,0.81,0.0397,0.0504,Sell
2021-09-27,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,3514247.0,4.23,1.2,0.0155,-108713.0,-0.13,0.02,0.04,0.0345,0.0403,Sell
2021-09-27,IZRL,BIOLINERX LTD-SPONS ADR,BLRX ,1083048.0,3.14,2.9,0.0115,-24368.0,-0.07,0.05,0.11,0.0394,0.055,Sell
2021-09-27,IZRL,CAMTEK LTD,CAMT,104467.0,4.62,44.21,0.0169,-2344.0,-0.1,0.1,1.86,0.0439,0.0562,Sell
2021-09-27,IZRL,CELLCOM ISRAEL LTD,CEL,953682.0,3.13,3.28,0.0115,-29502.0,-0.1,-0.03,0.07,0.0218,0.036,Sell
2021-09-27,IZRL,CERAGON NETWORKS LTD,CRNT,1037563.0,3.75,3.61,0.0137,-23344.0,-0.08,-0.43,-0.33,-0.0838,-0.068,Sell
2021-09-27,IZRL,CHECK CAP LTD,CHEK,3076481.0,3.01,0.98,0.011,-69216.0,-0.07,-0.32,-0.08,-0.0755,-0.0678,Sell
2021-09-27,IZRL,CHECK POINT SOFTWARE TECH,CHKP,28945.0,3.4,117.47,0.0125,-648.0,-0.08,-0.23,-5.32,-0.0433,-0.0234,Sell
2021-09-27,IZRL,CHEMOMAB THERAPEUTICS LTD,CMMB,182056.0,2.19,12.04,0.008,-4096.0,-0.05,-0.61,-3.0,-0.1995,-0.1919,Sell
2021-09-27,IZRL,COGNYTE SOFTWARE LTD,CGNT,145316.0,3.11,21.4,0.0114,-3264.0,-0.07,-0.85,-5.26,-0.1973,-0.1857,Sell
2021-09-27,IZRL,COLLPLANT BIOTECHNOLOGIES LT,CLGN UQ,192916.0,3.22,16.68,0.0118,-4336.0,-0.07,-0.32,-1.27,-0.0708,-0.056,Sell
2021-09-27,IZRL,COMPUGEN LTD,CGEN,359150.0,2.23,6.22,0.0082,-8080.0,-0.05,-0.29,-0.64,-0.0933,-0.0787,Sell
