date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-09-27,PRNT,3D SYSTEMS CORP,DDD,853901.0,24.89,29.15,0.0501,-6452.0,-0.19,-3.31,-3.63,-0.1107,-0.0493,Sell
2021-09-27,PRNT,3M CO,MMM,2687.0,0.49,181.04,0.001,-20.0,-0.0,-0.02,-4.54,-0.0245,0.1111,Sell
2021-09-27,PRNT,5N PLUS INC,VNP,245637.0,0.57,2.31,0.0011,-1800.0,-0.0,-0.06,-0.21,-0.0833,-0.0833,Sell
2021-09-27,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,123927.0,5.29,42.66,0.0106,-936.0,-0.04,-0.1,-0.48,-0.0111,0.0495,Sell
2021-09-27,PRNT,ALIGN TECHNOLOGY INC,ALGN,9751.0,7.07,725.24,0.0142,-72.0,-0.05,0.04,9.03,0.0126,0.084,Sell
2021-09-27,PRNT,ALLEGHENY TECHNOLOGIES INC,ATI,26028.0,0.44,16.8,0.0009,-196.0,-0.0,-0.02,-0.77,-0.0438,0.0,Sell
2021-09-27,PRNT,ALTAIR ENGINEERING INC - A,ALTR,272899.0,20.32,74.45,0.0409,-2062.0,-0.15,-0.19,-0.14,-0.0019,0.0679,Sell
2021-09-27,PRNT,AMETEK INC,AME,45916.0,5.95,129.61,0.012,-346.0,-0.04,-0.21,-3.52,-0.0264,0.0435,Sell
2021-09-27,PRNT,ANSYS INC,ANSS,52674.0,19.04,361.55,0.0383,-398.0,-0.14,-0.7,-10.52,-0.0283,0.0379,Sell
2021-09-27,PRNT,ARCONIC CORP,ARNC,172766.0,5.38,31.13,0.0108,-1304.0,-0.04,-0.78,-4.26,-0.1204,-0.0609,Sell
2021-09-27,PRNT,ARKEMA,AKE,4311.0,0.58,134.5,0.0012,-32.0,-0.0,-0.02,-3.15,-0.0229,0.0909,Sell
2021-09-27,PRNT,AUTODESK INC,ADSK,62446.0,18.4,294.67,0.037,-470.0,-0.14,0.32,7.21,0.0251,0.0947,Sell
2021-09-27,PRNT,BICO GROUP AB,BICO,338363.0,20.89,61.75,0.042,-2556.0,-0.16,-3.0,-8.34,-0.119,-0.0583,Sell
2021-09-27,PRNT,CARPENTER TECHNOLOGY,CRS,14247.0,0.47,32.68,0.0009,-106.0,-0.0,-0.0,0.08,0.0025,0.0,Sell
2021-09-27,PRNT,CONFORMIS INC,CFMS,14947027.0,19.58,1.31,0.0394,853703.0,1.12,-3.67,-0.34,-0.2061,-0.0922,Buy
2021-09-27,PRNT,DASSAULT SYSTEMES SE,DSY FP,357434.0,20.75,58.06,0.0417,-2700.0,-0.16,-0.18,-0.05,-0.0009,0.0665,Sell
2021-09-27,PRNT,DESKTOP METAL INC-A,DM,2006787.0,15.59,7.77,0.0314,-15166.0,-0.12,-2.28,-1.07,-0.121,-0.0599,Sell
2021-09-27,PRNT,DREYFUS GOVT CASH MAN INS,,636067.86,0.64,1.0,0.0013,-2477032.66,-2.48,-2.48,0.0,0.0,-0.7759,Sell
2021-09-27,PRNT,DUPONT DE NEMOURS INC,DD,6852.0,0.47,68.25,0.0009,-50.0,-0.0,-0.03,-3.17,-0.0444,0.0,Sell
2021-09-27,PRNT,EASTMAN CHEMICAL CO,EMN,4806.0,0.49,102.2,0.001,-36.0,-0.0,-0.05,-9.77,-0.0873,0.0,Sell
2021-09-27,PRNT,EASTMAN KODAK CO,KODK,73363.0,0.52,7.04,0.001,-554.0,-0.0,-0.02,-0.22,-0.0303,0.0,Sell
2021-09-27,PRNT,EVONIK INDUSTRIES AG,EVK,15920.0,0.51,32.09,0.001,-120.0,-0.0,-0.03,-1.48,-0.0441,0.0,Sell
2021-09-27,PRNT,EXCO TECHNOLOGIES LTD,XTC,689875.0,5.48,7.94,0.011,-5200.0,-0.04,-0.08,-0.06,-0.0075,0.0577,Sell
2021-09-27,PRNT,EXONE CO/THE,XONE,1108338.0,26.18,23.62,0.0527,-8376.0,-0.2,-1.31,-1.0,-0.0406,0.0253,Sell
2021-09-27,PRNT,FARO TECHNOLOGIES INC,FARO,81449.0,5.51,67.61,0.0111,-614.0,-0.04,-0.16,-1.5,-0.0217,0.0472,Sell
